WaitType,Time,MillisecondsWaiting
Replication,2018-01-14T04:00:00Z,0
SQL CLR,2018-01-14T04:00:00Z,0
Service Broker,2018-01-14T04:00:00Z,0
Tracing,2018-01-14T04:00:00Z,513
Tran Log IO,2018-01-14T04:00:00Z,2904268
Transaction,2018-01-14T04:00:00Z,0
Worker Thread,2018-01-14T04:00:00Z,92
Buffer IO,2018-01-14T05:00:00Z,438293
Buffer Latch,2018-01-14T05:00:00Z,37248
CPU,2018-01-14T05:00:00Z,1846041
Latch,2018-01-14T05:00:00Z,1230385
Lock,2018-01-14T05:00:00Z,228799
Memory,2018-01-14T05:00:00Z,26087
Network IO,2018-01-14T05:00:00Z,131
OTHER,2018-01-14T05:00:00Z,46464428
Other Disk IO,2018-01-14T05:00:00Z,27297
Parallelism,2018-01-14T05:00:00Z,1107022
Preemptive,2018-01-14T05:00:00Z,31758
Replication,2018-01-14T05:00:00Z,0
SQL CLR,2018-01-14T05:00:00Z,0
Service Broker,2018-01-14T05:00:00Z,0
Tracing,2018-01-14T05:00:00Z,372
Tran Log IO,2018-01-14T05:00:00Z,3127232
Transaction,2018-01-14T05:00:00Z,0
Worker Thread,2018-01-14T05:00:00Z,18
Buffer IO,2018-01-14T06:00:00Z,510088
Buffer Latch,2018-01-14T06:00:00Z,42821
CPU,2018-01-14T06:00:00Z,2002210
Latch,2018-01-14T06:00:00Z,1778211
Lock,2018-01-14T06:00:00Z,87296
Memory,2018-01-14T06:00:00Z,22075
Network IO,2018-01-14T06:00:00Z,78
OTHER,2018-01-14T06:00:00Z,47496288
Other Disk IO,2018-01-14T06:00:00Z,12940
Parallelism,2018-01-14T06:00:00Z,1216977
Preemptive,2018-01-14T06:00:00Z,32145
Replication,2018-01-14T06:00:00Z,0
SQL CLR,2018-01-14T06:00:00Z,0
Service Broker,2018-01-14T06:00:00Z,0
Tracing,2018-01-14T06:00:00Z,390
Tran Log IO,2018-01-14T06:00:00Z,2929649
Transaction,2018-01-14T06:00:00Z,0
